epoch,IoU,bce_dice_loss,dice_coeff,loss,val_IoU,val_bce_dice_loss,val_dice_coeff,val_loss,val_zero_IoU,zero_IoU
0,0.20671236515045166,1.631873369216919,0.34400656819343567,0.6559932231903076,0.15852627158164978,2.619511604309082,0.2699947655200958,0.7352121472358704,0.3144822120666504,0.5624783635139465
1,0.3322392404079437,1.0307035446166992,0.5195140838623047,0.4804859459400177,0.31423431634902954,1.2921531200408936,0.4797133505344391,0.5258082151412964,0.7467068433761597,0.7796067595481873
2,0.42952761054039,0.6690546274185181,0.6272072196006775,0.37279289960861206,0.4308103024959564,0.5821809768676758,0.6414787769317627,0.36243462562561035,0.8841924071311951,0.861778199672699
3,0.4943487346172333,0.5772210359573364,0.6850653290748596,0.3149341344833374,0.5033469200134277,0.5298463106155396,0.695960521697998,0.3071480393409729,0.9039613008499146,0.8873951435089111
4,0.5541890859603882,0.5054671168327332,0.732872486114502,0.2671273350715637,0.5659164786338806,0.5808299779891968,0.7131348252296448,0.29038164019584656,0.9053457975387573,0.9080222845077515
5,0.6172230243682861,0.41064321994781494,0.7827610373497009,0.2172393649816513,0.5347009301185608,0.7894695997238159,0.696684718132019,0.3057820796966553,0.8925923705101013,0.9307147264480591
6,0.6464656591415405,0.4037376046180725,0.7959375381469727,0.2040622979402542,0.6414682269096375,0.40098291635513306,0.8021479249000549,0.20041875541210175,0.9440230131149292,0.9359016418457031
7,0.6846973299980164,0.36615580320358276,0.8199233412742615,0.18007636070251465,0.6544564962387085,0.36535266041755676,0.8086052536964417,0.193804070353508,0.9522902965545654,0.9448497891426086
8,0.6895530819892883,0.39642393589019775,0.8198219537734985,0.18017792701721191,0.6767277121543884,0.36032336950302124,0.8153864741325378,0.1871824562549591,0.955064594745636,0.9436711668968201
9,0.7283633351325989,0.3534538149833679,0.8432418704032898,0.1567581593990326,0.728238046169281,0.3088037371635437,0.8536643385887146,0.1483386605978012,0.9590345025062561,0.9505721926689148
10,0.7632769346237183,0.28968653082847595,0.8724477887153625,0.1275523155927658,0.7326366901397705,0.43293896317481995,0.8336158990859985,0.1676269918680191,0.9472509026527405,0.9591255187988281
11,0.7554487586021423,0.3367987275123596,0.8590708374977112,0.14092950522899628,0.6759992837905884,0.5981158018112183,0.7817350625991821,0.22064238786697388,0.9305407404899597,0.9545690417289734
12,0.7763783931732178,0.31454217433929443,0.8719735145568848,0.12802650034427643,0.7774300575256348,0.33405759930610657,0.8686563372612,0.13268299400806427,0.9609084129333496,0.9578575491905212
13,0.7779733538627625,0.3044797480106354,0.8716814517974854,0.1283186972141266,0.6988224983215332,0.6669312715530396,0.8017750382423401,0.1995866745710373,0.9233594536781311,0.9603418111801147
14,0.792002260684967,0.3069462776184082,0.8795634508132935,0.12043682485818863,0.7296702861785889,0.36253225803375244,0.829797625541687,0.16420120000839233,0.956669807434082,0.9613655209541321
